LapNumber,is_lap_1,endpoint_TyreLife,Position,endpoint_Stint,LapTime_Seconds,stint_comp,endpoint_shouldpit,race_group
1.0,1,1,11.0,1,107.636,0.5,0,2022_R1.0
2.0,0,2,11.0,1,100.548,1.0,0,2022_R1.0
3.0,0,3,11.0,1,100.664,1.5,0,2022_R1.0
4.0,0,4,11.0,1,101.126,2.0,0,2022_R1.0
5.0,0,5,12.0,1,102.303,2.5,0,2022_R1.0
6.0,0,6,12.0,1,101.708,3.0,0,2022_R1.0
7.0,0,7,12.0,1,101.561,3.5,0,2022_R1.0
8.0,0,8,13.0,1,103.097,4.0,0,2022_R1.0
9.0,0,9,13.0,1,102.149,4.5,0,2022_R1.0
10.0,0,10,14.0,1,103.5,5.0,0,2022_R1.0
11.0,0,11,14.0,1,102.588,5.5,0,2022_R1.0
12.0,0,12,13.0,1,102.505,6.0,1,2022_R1.0
13.0,0,13,14.0,1,104.752,6.5,0,2022_R1.0
14.0,0,1,20.0,2,121.075,0.5,0,2022_R1.0
15.0,0,2,19.0,2,99.517,1.0,0,2022_R1.0
16.0,0,3,19.0,2,100.164,1.5,0,2022_R1.0
17.0,0,4,19.0,2,100.265,2.0,0,2022_R1.0
18.0,0,5,18.0,2,100.225,2.5,0,2022_R1.0
19.0,0,6,16.0,2,100.8,3.0,0,2022_R1.0
20.0,0,7,16.0,2,100.239,3.5,0,2022_R1.0
21.0,0,8,16.0,2,101.181,4.0,0,2022_R1.0
22.0,0,9,15.0,2,100.816,4.5,0,2022_R1.0
23.0,0,10,15.0,2,100.736,5.0,0,2022_R1.0
24.0,0,11,15.0,2,100.669,5.5,0,2022_R1.0
25.0,0,12,15.0,2,101.032,6.0,0,2022_R1.0
26.0,0,13,15.0,2,101.628,6.5,0,2022_R1.0
27.0,0,14,16.0,2,102.053,7.0,0,2022_R1.0
28.0,0,15,16.0,2,101.355,7.5,0,2022_R1.0
29.0,0,16,16.0,2,101.505,8.0,0,2022_R1.0
30.0,0,17,16.0,2,101.02,8.5,0,2022_R1.0
31.0,0,18,16.0,2,101.23,9.0,0,2022_R1.0
32.0,0,19,16.0,2,101.241,9.5,0,2022_R1.0
33.0,0,20,16.0,2,100.863,10.0,0,2022_R1.0
34.0,0,21,16.0,2,101.203,10.5,1,2022_R1.0
35.0,0,22,16.0,2,103.965,11.0,0,2022_R1.0
36.0,0,1,18.0,3,123.311,0.5,0,2022_R1.0
37.0,0,2,18.0,3,99.165,1.0,0,2022_R1.0
38.0,0,3,17.0,3,99.127,1.5,0,2022_R1.0
39.0,0,4,17.0,3,99.025,2.0,0,2022_R1.0
40.0,0,5,17.0,3,99.14,2.5,0,2022_R1.0
41.0,0,6,17.0,3,99.285,3.0,0,2022_R1.0
42.0,0,7,16.0,3,99.255,3.5,0,2022_R1.0
